"MONTEVIDEO","PUERTO",11000
"MONTEVIDEO","CIUDAD VIEJA",11000
"MONTEVIDEO","CENTRO",11100
"MONTEVIDEO","BARRIO SUR",11100
"MONTEVIDEO","CORDON",11200
"MONTEVIDEO","PALERMO",11200
"MONTEVIDEO","PARQUE RODO",11200
"MONTEVIDEO","POCITOS",11300
"MONTEVIDEO","PUNTA CARRETAS",11300
"MONTEVIDEO","MALVIN NORTE",11400
"MONTEVIDEO","UNION",11400
"MONTEVIDEO","PUNTA GORDA",11400
"MONTEVIDEO","MALVIN",11400
"MONTEVIDEO","CARRASCO NORTE",11500
"MONTEVIDEO","CARRASCO",11500
"MONTEVIDEO","LA BLANQUEADA",11600
"MONTEVIDEO","BUCEO",11600
"MONTEVIDEO","PQUE BATLLE VILLA DOLORES",11600
"MONTEVIDEO","LARRAÑAGA",11600
"MONTEVIDEO","AIRES PUROS",11700
"MONTEVIDEO","PRADO NUEVA SAVONA",11700
"MONTEVIDEO","BRAZO ORIENTAL",11700
"MONTEVIDEO","ATAHUALPA",11700
"MONTEVIDEO","LA COMERCIAL",11800
"MONTEVIDEO","FIGURITA",11800
"MONTEVIDEO","CAPURRO BELLA VISTA",11800
"MONTEVIDEO","JACINTO VERA",11800
"MONTEVIDEO","AGUADA",11800
"MONTEVIDEO","REDUCTO",11800
"MONTEVIDEO","TRES CRUCES",11800
"MONTEVIDEO","VILLA MUÑOZ RETIRO",11800
"MONTEVIDEO","BELVEDERE",11900
"MONTEVIDEO","TRES OMBUES PBLO VICTORIA",11900
"MONTEVIDEO","LA TEJA",11900
"MONTEVIDEO","NUEVO PARIS",11900
"MONTEVIDEO","ITUZAINGO",12000
"MONTEVIDEO","CASTRO CASTELLANOS",12000
"MONTEVIDEO","MERCADO MODELO Y BOLIVAR",12000
"MONTEVIDEO","VILLA ESPAÑOLA",12000
"MONTEVIDEO","LAS CANTERAS",12100
"MONTEVIDEO","MAROÑAS PARQUE GUARANI",12100
"MONTEVIDEO","CASAVALLE",12300
"MONTEVIDEO","MANGA",12300
"MONTEVIDEO","PIEDRAS BLANCAS",12300
"MONTEVIDEO","LAS ACACIAS",12300
"MONTEVIDEO","CERRITO",12300
"MONTEVIDEO","MANGA TOLEDO CHICO",12400
"MONTEVIDEO","COLON SURESTE ABAYUBA",12400
"MONTEVIDEO","PEÑAROL LAVALLEJA",12400
"MONTEVIDEO","COLON CENTRO Y NOROESTE",12500
"MONTEVIDEO","LEZICA MELILLA",12500
"MONTEVIDEO","PASO DE LA ARENA",12700
"MONTEVIDEO","CASABO PAJAS BLANCAS",12800
"MONTEVIDEO","LA PALOMA TOMKINSON",12800
"MONTEVIDEO","CERRO",12800
"MONTEVIDEO","SAYAGO",12900
"MONTEVIDEO","PASO DE LAS DURANAS",12900
"MONTEVIDEO","CONCILIACION",12900
"MONTEVIDEO","VILLA GARCIA MANGA RURAL",13000
"MONTEVIDEO","PUNTA RIELES BELLA ITALIA",13000
"MONTEVIDEO","JARDINES DEL HIPODROMO",13000
"MONTEVIDEO","BAÑADOS DE CARRASCO",13000
"MONTEVIDEO","FLOR DE MAROÑAS",13000
